?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/A10BH03>	28
<http://purl.bioontology.org/ontology/ATC/C09CA06>	26
<http://purl.bioontology.org/ontology/ATC/J07BH01>	7
<http://purl.bioontology.org/ontology/ATC/R03AL02>	45
<http://purl.bioontology.org/ontology/ATC/L04AC07>	49
<http://purl.bioontology.org/ontology/ATC/L01DC01>	57
<http://purl.bioontology.org/ontology/ATC/J01GB01>	65
<http://purl.bioontology.org/ontology/ATC/D01BA02>	56
<http://purl.bioontology.org/ontology/ATC/J01AA02>	70
<http://purl.bioontology.org/ontology/ATC/N06AA04>	59
<http://purl.bioontology.org/ontology/ATC/L01XG01>	250
<http://purl.bioontology.org/ontology/ATC/G04CB02>	19
<http://purl.bioontology.org/ontology/ATC/H03AA02>	7
<http://purl.bioontology.org/ontology/ATC/J01GB06>	28
<http://purl.bioontology.org/ontology/ATC/A10BB03>	8
<http://purl.bioontology.org/ontology/ATC/M01AE17>	58
<http://purl.bioontology.org/ontology/ATC/C09CA08>	41
<http://purl.bioontology.org/ontology/ATC/B05BC01>	49
<http://purl.bioontology.org/ontology/ATC/C09DX01>	49
<http://purl.bioontology.org/ontology/ATC/N06AX22>	38
<http://purl.bioontology.org/ontology/ATC/V03AE10>	12
<http://purl.bioontology.org/ontology/ATC/N05AX12>	127
<http://purl.bioontology.org/ontology/ATC/H01AC01>	64
<http://purl.bioontology.org/ontology/ATC/J01EE03>	56
<http://purl.bioontology.org/ontology/ATC/A10BD07>	24
<http://purl.bioontology.org/ontology/ATC/C07BB02>	63
<http://purl.bioontology.org/ontology/ATC/B01AF01>	56
<http://purl.bioontology.org/ontology/ATC/N05CD03>	28
<http://purl.bioontology.org/ontology/ATC/G03DC02>	16
<http://purl.bioontology.org/ontology/ATC/A12AX>	18
<http://purl.bioontology.org/ontology/ATC/R07AX31>	16
<http://purl.bioontology.org/ontology/ATC/C08CA09>	18
<http://purl.bioontology.org/ontology/ATC/L01XA02>	62
<http://purl.bioontology.org/ontology/ATC/J07BL01>	27
<http://purl.bioontology.org/ontology/ATC/N01BB52>	33
<http://purl.bioontology.org/ontology/ATC/J02AC01>	50
<http://purl.bioontology.org/ontology/ATC/N06AA02>	41
<http://purl.bioontology.org/ontology/ATC/C03BA11>	37
<http://purl.bioontology.org/ontology/ATC/N05BA12>	66
<http://purl.bioontology.org/ontology/ATC/A10BJ06>	36
<http://purl.bioontology.org/ontology/ATC/C03EA01>	77
<http://purl.bioontology.org/ontology/ATC/L02BB06>	10
<http://purl.bioontology.org/ontology/ATC/N02CX02>	24
<http://purl.bioontology.org/ontology/ATC/M01AX01>	50
<http://purl.bioontology.org/ontology/ATC/C09CA07>	41
<http://purl.bioontology.org/ontology/ATC/A10BH02>	28
<http://purl.bioontology.org/ontology/ATC/R03AL03>	19
