?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/N01BB51>	33
<http://purl.bioontology.org/ontology/ATC/J02AC02>	59
<http://purl.bioontology.org/ontology/ATC/L04AA06>	141
<http://purl.bioontology.org/ontology/ATC/N05BA11>	33
<http://purl.bioontology.org/ontology/ATC/J01FA10>	75
<http://purl.bioontology.org/ontology/ATC/J01AA07>	34
<http://purl.bioontology.org/ontology/ATC/N01BB58>	72
<http://purl.bioontology.org/ontology/ATC/C09CA03>	30
<http://purl.bioontology.org/ontology/ATC/J01EA01>	22
<http://purl.bioontology.org/ontology/ATC/G02BB01>	45
<http://purl.bioontology.org/ontology/ATC/C03AA03>	62
<http://purl.bioontology.org/ontology/ATC/R03AL07>	19
<http://purl.bioontology.org/ontology/ATC/L01BB03>	25
<http://purl.bioontology.org/ontology/ATC/C09BB10>	122
<http://purl.bioontology.org/ontology/ATC/G03HA01>	18
<http://purl.bioontology.org/ontology/ATC/A10BH01>	21
<http://purl.bioontology.org/ontology/ATC/C09CA04>	34
<http://purl.bioontology.org/ontology/ATC/J02AA01>	60
<http://purl.bioontology.org/ontology/ATC/J07BN01>	36
<http://purl.bioontology.org/ontology/ATC/N06AX26>	27
<http://purl.bioontology.org/ontology/ATC/N05CD09>	20
<http://purl.bioontology.org/ontology/ATC/N05AG02>	50
<http://purl.bioontology.org/ontology/ATC/A04AD12>	88
<http://purl.bioontology.org/ontology/ATC/N06AX21>	90
<http://purl.bioontology.org/ontology/ATC/A02BX02>	22
<http://purl.bioontology.org/ontology/ATC/P01AB01>	83
<http://purl.bioontology.org/ontology/ATC/N05AX16>	26
<http://purl.bioontology.org/ontology/ATC/N05CD07>	18
<http://purl.bioontology.org/ontology/ATC/R07AX32>	24
<http://purl.bioontology.org/ontology/ATC/V03AX03>	36
<http://purl.bioontology.org/ontology/ATC/L01XA01>	60
<http://purl.bioontology.org/ontology/ATC/V03AX04>	7
<http://purl.bioontology.org/ontology/ATC/C01AA05>	22
<http://purl.bioontology.org/ontology/ATC/J05AB14>	73
<http://purl.bioontology.org/ontology/ATC/B01AF02>	33
<http://purl.bioontology.org/ontology/ATC/C08GA02>	86
<http://purl.bioontology.org/ontology/ATC/V01AA07>	39
<http://purl.bioontology.org/ontology/ATC/A10AD01>	20
<http://purl.bioontology.org/ontology/ATC/C07AB04>	29
<http://purl.bioontology.org/ontology/ATC/J01DD04>	63
<http://purl.bioontology.org/ontology/ATC/L01ED05>	41
<http://purl.bioontology.org/ontology/ATC/N01BB20>	22
<http://purl.bioontology.org/ontology/ATC/S01AA12>	19
<http://purl.bioontology.org/ontology/ATC/V03AE07>	20
<http://purl.bioontology.org/ontology/ATC/L01EL01>	59
<http://purl.bioontology.org/ontology/ATC/J02AX04>	101
<http://purl.bioontology.org/ontology/ATC/L01ED02>	26
<http://purl.bioontology.org/ontology/ATC/A10AD06>	11
<http://purl.bioontology.org/ontology/ATC/A06AD65>	43
<http://purl.bioontology.org/ontology/ATC/C07AB03>	38
<http://purl.bioontology.org/ontology/ATC/L04AX04>	176
<http://purl.bioontology.org/ontology/ATC/C10AB02>	43
<http://purl.bioontology.org/ontology/ATC/G04BE30>	11
<http://purl.bioontology.org/ontology/ATC/H01BA04>	32
<http://purl.bioontology.org/ontology/ATC/C01BC03>	52
<http://purl.bioontology.org/ontology/ATC/G04BE08>	53
<http://purl.bioontology.org/ontology/ATC/L04AX03>	127
<http://purl.bioontology.org/ontology/ATC/J05AJ03>	24
<http://purl.bioontology.org/ontology/ATC/A06AB02>	16
<http://purl.bioontology.org/ontology/ATC/C01BC04>	60
<http://purl.bioontology.org/ontology/ATC/L01EF01>	28
<http://purl.bioontology.org/ontology/ATC/G03AB03>	35
<http://purl.bioontology.org/ontology/ATC/M01AE52>	56
<http://purl.bioontology.org/ontology/ATC/C10AB05>	34
<http://purl.bioontology.org/ontology/ATC/N04BA02>	97
<http://purl.bioontology.org/ontology/ATC/V03AE09>	8
<http://purl.bioontology.org/ontology/ATC/A02BC03>	60
<http://purl.bioontology.org/ontology/ATC/P01CX01>	28
<http://purl.bioontology.org/ontology/ATC/C03DB02>	25
<http://purl.bioontology.org/ontology/ATC/A10BB12>	30
<http://purl.bioontology.org/ontology/ATC/L01AB01>	97
<http://purl.bioontology.org/ontology/ATC/B03XA02>	17
<http://purl.bioontology.org/ontology/ATC/M05BB02>	25
<http://purl.bioontology.org/ontology/ATC/M01AE01>	113
<http://purl.bioontology.org/ontology/ATC/N05BA05>	31
<http://purl.bioontology.org/ontology/ATC/J01AA13>	20
<http://purl.bioontology.org/ontology/ATC/A02BC04>	62
<http://purl.bioontology.org/ontology/ATC/B03XA05>	18
<http://purl.bioontology.org/ontology/ATC/J07AH08>	35
<http://purl.bioontology.org/ontology/ATC/J05AF01>	68
<http://purl.bioontology.org/ontology/ATC/A10AB04>	13
<http://purl.bioontology.org/ontology/ATC/L01XX35>	71
<http://purl.bioontology.org/ontology/ATC/L01EB07>	32
<http://purl.bioontology.org/ontology/ATC/J05AF06>	57
<http://purl.bioontology.org/ontology/ATC/C09BB04>	82
<http://purl.bioontology.org/ontology/ATC/C09DA07>	38
<http://purl.bioontology.org/ontology/ATC/V03AC02>	25
<http://purl.bioontology.org/ontology/ATC/G04BE09>	38
<http://purl.bioontology.org/ontology/ATC/L04AX02>	59
<http://purl.bioontology.org/ontology/ATC/C10AB04>	40
<http://purl.bioontology.org/ontology/ATC/N04BA03>	117
<http://purl.bioontology.org/ontology/ATC/J05AB01>	39
<http://purl.bioontology.org/ontology/ATC/A10BD11>	20
<http://purl.bioontology.org/ontology/ATC/H01BA02>	75
<http://purl.bioontology.org/ontology/ATC/L04AX05>	38
<http://purl.bioontology.org/ontology/ATC/J01XB01>	49
<http://purl.bioontology.org/ontology/ATC/N01AB08>	47
<http://purl.bioontology.org/ontology/ATC/J05AB06>	76
<http://purl.bioontology.org/ontology/ATC/C08DA01>	47
<http://purl.bioontology.org/ontology/ATC/J02AX05>	74
<http://purl.bioontology.org/ontology/ATC/L01ED03>	18
<http://purl.bioontology.org/ontology/ATC/C07AB02>	56
<http://purl.bioontology.org/ontology/ATC/A11CC04>	22
<http://purl.bioontology.org/ontology/ATC/A12CX>	13
<http://purl.bioontology.org/ontology/ATC/A10BD20>	35
<http://purl.bioontology.org/ontology/ATC/V03AE01>	29
<http://purl.bioontology.org/ontology/ATC/J07AL01>	30
<http://purl.bioontology.org/ontology/ATC/M01AA01>	36
<http://purl.bioontology.org/ontology/ATC/A11CC03>	29
<http://purl.bioontology.org/ontology/ATC/N03AF01>	106
<http://purl.bioontology.org/ontology/ATC/C01BA01>	24
<http://purl.bioontology.org/ontology/ATC/A11GA01>	9
<http://purl.bioontology.org/ontology/ATC/J05AF07>	29
<http://purl.bioontology.org/ontology/ATC/L02AB01>	21
<http://purl.bioontology.org/ontology/ATC/C09DA06>	47
<http://purl.bioontology.org/ontology/ATC/V03AC03>	57
<http://purl.bioontology.org/ontology/ATC/A10AB05>	18
<http://purl.bioontology.org/ontology/ATC/A02BA01>	39
<http://purl.bioontology.org/ontology/ATC/L01EB01>	35
<http://purl.bioontology.org/ontology/ATC/L01CA02>	60
<http://purl.bioontology.org/ontology/ATC/R03AL12>	22
<http://purl.bioontology.org/ontology/ATC/J07AH09>	37
<http://purl.bioontology.org/ontology/ATC/L01EJ02>	17
<http://purl.bioontology.org/ontology/ATC/C09BB02>	34
<http://purl.bioontology.org/ontology/ATC/C09DA01>	95
<http://purl.bioontology.org/ontology/ATC/J07AL52>	27
<http://purl.bioontology.org/ontology/ATC/N05BA04>	25
<http://purl.bioontology.org/ontology/ATC/A02BC05>	56
<http://purl.bioontology.org/ontology/ATC/J01AA12>	38
<http://purl.bioontology.org/ontology/ATC/M05BB03>	44
<http://purl.bioontology.org/ontology/ATC/C09DA08>	41
<http://purl.bioontology.org/ontology/ATC/A02BC02>	48
<http://purl.bioontology.org/ontology/ATC/J07AH07>	60
<http://purl.bioontology.org/ontology/ATC/B03XA03>	16
<http://purl.bioontology.org/ontology/ATC/L01EH01>	33
<http://purl.bioontology.org/ontology/ATC/G04BD10>	28
<http://purl.bioontology.org/ontology/ATC/H02AB06>	63
<http://purl.bioontology.org/ontology/ATC/J05AP54>	25
<http://purl.bioontology.org/ontology/ATC/G04CA52>	36
<http://purl.bioontology.org/ontology/ATC/A12BA30>	4
<http://purl.bioontology.org/ontology/ATC/L04AD02>	135
<http://purl.bioontology.org/ontology/ATC/A02AD01>	31
<http://purl.bioontology.org/ontology/ATC/R03AK07>	35
<http://purl.bioontology.org/ontology/ATC/R03AC03>	24
<http://purl.bioontology.org/ontology/ATC/A10BX16>	31
<http://purl.bioontology.org/ontology/ATC/J06BA02>	110
<http://purl.bioontology.org/ontology/ATC/G03AA11>	63
<http://purl.bioontology.org/ontology/ATC/B03AA03>	15
<http://purl.bioontology.org/ontology/ATC/H02AB01>	63
<http://purl.bioontology.org/ontology/ATC/N07XX05>	25
<http://purl.bioontology.org/ontology/ATC/G03AA18>	83
<http://purl.bioontology.org/ontology/ATC/L01EX03>	89
<http://purl.bioontology.org/ontology/ATC/H02AB08>	104
<http://purl.bioontology.org/ontology/ATC/A12BA01>	16
<http://purl.bioontology.org/ontology/ATC/A02AF02>	27
<http://purl.bioontology.org/ontology/ATC/C10BA06>	63
<http://purl.bioontology.org/ontology/ATC/L01EX04>	90
<http://purl.bioontology.org/ontology/ATC/M04AA01>	56
<http://purl.bioontology.org/ontology/ATC/J05AR04>	84
<http://purl.bioontology.org/ontology/ATC/J07BC01>	65
<http://purl.bioontology.org/ontology/ATC/J01CA04>	53
<http://purl.bioontology.org/ontology/ATC/L01DB06>	56
<http://purl.bioontology.org/ontology/ATC/C09AA09>	71
<http://purl.bioontology.org/ontology/ATC/J07BK02>	20
<http://purl.bioontology.org/ontology/ATC/L03AX03>	59
<http://purl.bioontology.org/ontology/ATC/B01AC08>	23
<http://purl.bioontology.org/ontology/ATC/L01DB01>	165
<http://purl.bioontology.org/ontology/ATC/B01AC30>	91
<http://purl.bioontology.org/ontology/ATC/A07BA01>	6
<http://purl.bioontology.org/ontology/ATC/N02BA51>	94
<http://purl.bioontology.org/ontology/ATC/J05AR03>	47
<http://purl.bioontology.org/ontology/ATC/B01AC06>	40
<http://purl.bioontology.org/ontology/ATC/G04CA01>	33
<http://purl.bioontology.org/ontology/ATC/J07BA02>	38
<http://purl.bioontology.org/ontology/ATC/L01BC06>	136
<http://purl.bioontology.org/ontology/ATC/C09AA07>	44
<http://purl.bioontology.org/ontology/ATC/L01BC01>	109
<http://purl.bioontology.org/ontology/ATC/L01EX05>	46
<http://purl.bioontology.org/ontology/ATC/J07BM01>	29
<http://purl.bioontology.org/ontology/ATC/L03AA14>	34
<http://purl.bioontology.org/ontology/ATC/H02AB09>	96
<http://purl.bioontology.org/ontology/ATC/N05AL01>	58
<http://purl.bioontology.org/ontology/ATC/R03AK08>	64
<http://purl.bioontology.org/ontology/ATC/L01EX02>	85
<http://purl.bioontology.org/ontology/ATC/C09BX01>	103
<http://purl.bioontology.org/ontology/ATC/C01CA07>	43
<http://purl.bioontology.org/ontology/ATC/L03AA13>	34
<http://purl.bioontology.org/ontology/ATC/L01XB01>	43
<http://purl.bioontology.org/ontology/ATC/R03AC02>	35
<http://purl.bioontology.org/ontology/ATC/A08AA62>	91
<http://purl.bioontology.org/ontology/ATC/J07BG01>	39
<http://purl.bioontology.org/ontology/ATC/C02CA06>	15
<http://purl.bioontology.org/ontology/ATC/G03AA10>	35
<http://purl.bioontology.org/ontology/ATC/B03AA02>	9
<http://purl.bioontology.org/ontology/ATC/A10BG03>	24
<http://purl.bioontology.org/ontology/ATC/B03AA05>	6
<http://purl.bioontology.org/ontology/ATC/G04CA53>	12
<http://purl.bioontology.org/ontology/ATC/R03AK06>	37
<http://purl.bioontology.org/ontology/ATC/J05AP55>	6
<http://purl.bioontology.org/ontology/ATC/N02BE51>	112
<http://purl.bioontology.org/ontology/ATC/H02AB07>	59
<http://purl.bioontology.org/ontology/ATC/J01XX05>	28
<http://purl.bioontology.org/ontology/ATC/C03CA01>	63
<http://purl.bioontology.org/ontology/ATC/L04AB01>	91
<http://purl.bioontology.org/ontology/ATC/N06AB06>	159
<http://purl.bioontology.org/ontology/ATC/C09AA01>	76
<http://purl.bioontology.org/ontology/ATC/L04AB06>	85
<http://purl.bioontology.org/ontology/ATC/C10AX09>	43
<http://purl.bioontology.org/ontology/ATC/J04BA02>	34
<http://purl.bioontology.org/ontology/ATC/N06AB08>	62
<http://purl.bioontology.org/ontology/ATC/L04AH01>	80
<http://purl.bioontology.org/ontology/ATC/B01AA04>	21
<http://purl.bioontology.org/ontology/ATC/L01DB07>	49
<http://purl.bioontology.org/ontology/ATC/L01BA04>	62
<http://purl.bioontology.org/ontology/ATC/A10BK01>	30
<http://purl.bioontology.org/ontology/ATC/G03HB01>	29
<http://purl.bioontology.org/ontology/ATC/J07BK03>	17
<http://purl.bioontology.org/ontology/ATC/N03AX22>	20
<http://purl.bioontology.org/ontology/ATC/L01EX12>	15
<http://purl.bioontology.org/ontology/ATC/N02AA05>	75
<http://purl.bioontology.org/ontology/ATC/J05AG06>	54
<http://purl.bioontology.org/ontology/ATC/L01EK03>	76
<http://purl.bioontology.org/ontology/ATC/J05AG01>	33
<http://purl.bioontology.org/ontology/ATC/L01EX13>	19
<http://purl.bioontology.org/ontology/ATC/N03AX24>	16
<http://purl.bioontology.org/ontology/ATC/C02KX04>	17
<http://purl.bioontology.org/ontology/ATC/N03AX23>	22
<http://purl.bioontology.org/ontology/ATC/P01BC02>	76
<http://purl.bioontology.org/ontology/ATC/B01AC27>	20
<http://purl.bioontology.org/ontology/ATC/H02AA02>	26
<http://purl.bioontology.org/ontology/ATC/C02AC02>	43
<http://purl.bioontology.org/ontology/ATC/N05CF01>	39
<http://purl.bioontology.org/ontology/ATC/L04AA32>	24
<http://purl.bioontology.org/ontology/ATC/R03DX07>	30
<http://purl.bioontology.org/ontology/ATC/G03XA01>	58
<http://purl.bioontology.org/ontology/ATC/N05AX15>	51
<http://purl.bioontology.org/ontology/ATC/J04AB04>	24
<http://purl.bioontology.org/ontology/ATC/R06AX22>	29
<http://purl.bioontology.org/ontology/ATC/G03AD02>	39
<http://purl.bioontology.org/ontology/ATC/N06BA07>	83
<http://purl.bioontology.org/ontology/ATC/L01EB03>	35
<http://purl.bioontology.org/ontology/ATC/L01EJ01>	33
<http://purl.bioontology.org/ontology/ATC/A16AX05>	5
<http://purl.bioontology.org/ontology/ATC/N02AB03>	124
<http://purl.bioontology.org/ontology/ATC/J05AJ01>	119
<http://purl.bioontology.org/ontology/ATC/L01EF03>	26
<http://purl.bioontology.org/ontology/ATC/J05AX09>	48
<http://purl.bioontology.org/ontology/ATC/L01EX09>	35
<http://purl.bioontology.org/ontology/ATC/L01XH03>	72
<http://purl.bioontology.org/ontology/ATC/N05AH04>	60
<http://purl.bioontology.org/ontology/ATC/N03AX09>	47
<http://purl.bioontology.org/ontology/ATC/N05AD06>	59
<http://purl.bioontology.org/ontology/ATC/G03DB08>	54
<http://purl.bioontology.org/ontology/ATC/N02AA55>	53
<http://purl.bioontology.org/ontology/ATC/G03AC09>	13
<http://purl.bioontology.org/ontology/ATC/J05AG04>	64
<http://purl.bioontology.org/ontology/ATC/L01EK01>	66
<http://purl.bioontology.org/ontology/ATC/J05AG03>	44
<http://purl.bioontology.org/ontology/ATC/N07XX11>	79
<http://purl.bioontology.org/ontology/ATC/G03AC08>	60
<http://purl.bioontology.org/ontology/ATC/A12CB01>	10
<http://purl.bioontology.org/ontology/ATC/L01EX10>	67
<http://purl.bioontology.org/ontology/ATC/N06AX11>	52
<http://purl.bioontology.org/ontology/ATC/J01CF05>	29
<http://purl.bioontology.org/ontology/ATC/A16AX12>	17
<http://purl.bioontology.org/ontology/ATC/N05CF02>	36
<http://purl.bioontology.org/ontology/ATC/L01XG03>	27
<http://purl.bioontology.org/ontology/ATC/A02AC01>	15
<http://purl.bioontology.org/ontology/ATC/L01XK01>	29
<http://purl.bioontology.org/ontology/ATC/L01CX01>	50
<http://purl.bioontology.org/ontology/ATC/J05AJ04>	34
<http://purl.bioontology.org/ontology/ATC/A12CC04>	8
<http://purl.bioontology.org/ontology/ATC/A12CC03>	5
<http://purl.bioontology.org/ontology/ATC/L01CE02>	179
<http://purl.bioontology.org/ontology/ATC/G03AD01>	15
<http://purl.bioontology.org/ontology/ATC/A06AB58>	20
<http://purl.bioontology.org/ontology/ATC/N06AX05>	63
<http://purl.bioontology.org/ontology/ATC/N01AH01>	38
<http://purl.bioontology.org/ontology/ATC/A12CC02>	21
<http://purl.bioontology.org/ontology/ATC/A12CC05>	9
<http://purl.bioontology.org/ontology/ATC/L01ED04>	63
<http://purl.bioontology.org/ontology/ATC/B02BX05>	166
<http://purl.bioontology.org/ontology/ATC/L01XJ02>	20
<http://purl.bioontology.org/ontology/ATC/G04BD11>	29
<http://purl.bioontology.org/ontology/ATC/J05AP08>	37
<http://purl.bioontology.org/ontology/ATC/P02BA01>	21
<http://purl.bioontology.org/ontology/ATC/L01FX05>	60
<http://purl.bioontology.org/ontology/ATC/L01CD04>	86
<http://purl.bioontology.org/ontology/ATC/P01AX06>	15
<http://purl.bioontology.org/ontology/ATC/N04BD02>	39
<http://purl.bioontology.org/ontology/ATC/C08CA06>	13
<http://purl.bioontology.org/ontology/ATC/N04BX02>	29
<http://purl.bioontology.org/ontology/ATC/N05AE05>	126
<http://purl.bioontology.org/ontology/ATC/R03BB07>	18
<http://purl.bioontology.org/ontology/ATC/N02CC04>	42
<http://purl.bioontology.org/ontology/ATC/N02AF02>	17
<http://purl.bioontology.org/ontology/ATC/N07BC51>	91
<http://purl.bioontology.org/ontology/ATC/G02BA03>	51
<http://purl.bioontology.org/ontology/ATC/N06AF04>	47
<http://purl.bioontology.org/ontology/ATC/L02BG03>	37
<http://purl.bioontology.org/ontology/ATC/L01EX08>	72
<http://purl.bioontology.org/ontology/ATC/N07BB04>	64
<http://purl.bioontology.org/ontology/ATC/N02AE01>	92
<http://purl.bioontology.org/ontology/ATC/N04BD01>	20
<http://purl.bioontology.org/ontology/ATC/N07BB05>	28
<http://purl.bioontology.org/ontology/ATC/G03AC06>	83
<http://purl.bioontology.org/ontology/ATC/N04BX01>	26
<http://purl.bioontology.org/ontology/ATC/N06AG02>	22
<http://purl.bioontology.org/ontology/ATC/C08CA04>	15
<http://purl.bioontology.org/ontology/ATC/N06BA04>	123
<http://purl.bioontology.org/ontology/ATC/L01CA04>	80
<http://purl.bioontology.org/ontology/ATC/N02CC06>	55
<http://purl.bioontology.org/ontology/ATC/N07BC01>	49
<http://purl.bioontology.org/ontology/ATC/A06AH03>	11
<http://purl.bioontology.org/ontology/ATC/P01BB51>	34
<http://purl.bioontology.org/ontology/ATC/L02BG06>	42
<http://purl.bioontology.org/ontology/ATC/L02BA03>	43
<http://purl.bioontology.org/ontology/ATC/N02AX02>	63
<http://purl.bioontology.org/ontology/ATC/L01FX14>	40
<http://purl.bioontology.org/ontology/ATC/V03AB15>	25
