?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/D01BA02>	17
<http://purl.bioontology.org/ontology/ATC/J01AA02>	30
<http://purl.bioontology.org/ontology/ATC/N06AA04>	5
<http://purl.bioontology.org/ontology/ATC/L01XG01>	1
<http://purl.bioontology.org/ontology/ATC/G04CB02>	5
<http://purl.bioontology.org/ontology/ATC/H03AA02>	2
<http://purl.bioontology.org/ontology/ATC/J01GB06>	1
<http://purl.bioontology.org/ontology/ATC/A10BB03>	2
<http://purl.bioontology.org/ontology/ATC/M01AE17>	4
<http://purl.bioontology.org/ontology/ATC/C09CA08>	3
<http://purl.bioontology.org/ontology/ATC/B05BC01>	8
<http://purl.bioontology.org/ontology/ATC/C09DX01>	2
<http://purl.bioontology.org/ontology/ATC/N06AX22>	1
<http://purl.bioontology.org/ontology/ATC/V03AE10>	2
<http://purl.bioontology.org/ontology/ATC/N05AX12>	4
<http://purl.bioontology.org/ontology/ATC/H01AC01>	9
<http://purl.bioontology.org/ontology/ATC/J01EE03>	17
<http://purl.bioontology.org/ontology/ATC/A10BD07>	2
<http://purl.bioontology.org/ontology/ATC/C07BB02>	1
<http://purl.bioontology.org/ontology/ATC/B01AF01>	17
<http://purl.bioontology.org/ontology/ATC/N05CD03>	1
<http://purl.bioontology.org/ontology/ATC/G03DC02>	3
<http://purl.bioontology.org/ontology/ATC/A12AX>	3
<http://purl.bioontology.org/ontology/ATC/R07AX31>	2
<http://purl.bioontology.org/ontology/ATC/C08CA09>	1
<http://purl.bioontology.org/ontology/ATC/L01XA02>	1
<http://purl.bioontology.org/ontology/ATC/J07BL01>	3
<http://purl.bioontology.org/ontology/ATC/N01BB52>	1
<http://purl.bioontology.org/ontology/ATC/J02AC01>	2
<http://purl.bioontology.org/ontology/ATC/N06AA02>	4
<http://purl.bioontology.org/ontology/ATC/C03BA11>	1
<http://purl.bioontology.org/ontology/ATC/N05BA12>	2
<http://purl.bioontology.org/ontology/ATC/A10BJ06>	16
<http://purl.bioontology.org/ontology/ATC/C03EA01>	8
<http://purl.bioontology.org/ontology/ATC/L02BB06>	4
<http://purl.bioontology.org/ontology/ATC/N02CX02>	1
<http://purl.bioontology.org/ontology/ATC/M01AX01>	2
<http://purl.bioontology.org/ontology/ATC/C09CA07>	6
<http://purl.bioontology.org/ontology/ATC/A10BH02>	5
<http://purl.bioontology.org/ontology/ATC/R03AL03>	1
<http://purl.bioontology.org/ontology/ATC/D07AB09>	11
<http://purl.bioontology.org/ontology/ATC/A10BH05>	5
<http://purl.bioontology.org/ontology/ATC/R03AL04>	1
<http://purl.bioontology.org/ontology/ATC/M01AE02>	21
<http://purl.bioontology.org/ontology/ATC/R06AX25>	3
<http://purl.bioontology.org/ontology/ATC/N06AA16>	1
<http://purl.bioontology.org/ontology/ATC/N03AB02>	5
<http://purl.bioontology.org/ontology/ATC/J01XD01>	26
<http://purl.bioontology.org/ontology/ATC/N05BA01>	10
<http://purl.bioontology.org/ontology/ATC/J05AD01>	5
<http://purl.bioontology.org/ontology/ATC/N06BA09>	4
