?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/B01AF02>	13
<http://purl.bioontology.org/ontology/ATC/C08GA02>	2
<http://purl.bioontology.org/ontology/ATC/V01AA07>	3
<http://purl.bioontology.org/ontology/ATC/A10AD01>	1
<http://purl.bioontology.org/ontology/ATC/C07AB04>	11
<http://purl.bioontology.org/ontology/ATC/J01DD04>	23
<http://purl.bioontology.org/ontology/ATC/N01BB20>	8
<http://purl.bioontology.org/ontology/ATC/V03AE07>	3
<http://purl.bioontology.org/ontology/ATC/L01EL01>	3
<http://purl.bioontology.org/ontology/ATC/J02AX04>	6
<http://purl.bioontology.org/ontology/ATC/A10AD06>	2
<http://purl.bioontology.org/ontology/ATC/A06AD65>	7
<http://purl.bioontology.org/ontology/ATC/C07AB03>	13
<http://purl.bioontology.org/ontology/ATC/L04AX04>	10
<http://purl.bioontology.org/ontology/ATC/C10AB02>	3
<http://purl.bioontology.org/ontology/ATC/G04BE30>	2
<http://purl.bioontology.org/ontology/ATC/H01BA04>	7
<http://purl.bioontology.org/ontology/ATC/C01BC03>	4
<http://purl.bioontology.org/ontology/ATC/G04BE08>	8
<http://purl.bioontology.org/ontology/ATC/L04AX03>	8
<http://purl.bioontology.org/ontology/ATC/J05AJ03>	1
<http://purl.bioontology.org/ontology/ATC/A06AB02>	1
<http://purl.bioontology.org/ontology/ATC/C01BC04>	9
<http://purl.bioontology.org/ontology/ATC/M01AE52>	3
<http://purl.bioontology.org/ontology/ATC/C10AB05>	3
<http://purl.bioontology.org/ontology/ATC/N04BA02>	3
<http://purl.bioontology.org/ontology/ATC/V03AE09>	3
<http://purl.bioontology.org/ontology/ATC/A02BC03>	4
<http://purl.bioontology.org/ontology/ATC/P01CX01>	2
<http://purl.bioontology.org/ontology/ATC/C03DB02>	4
<http://purl.bioontology.org/ontology/ATC/A10BB12>	2
<http://purl.bioontology.org/ontology/ATC/L01AB01>	9
<http://purl.bioontology.org/ontology/ATC/B03XA02>	4
<http://purl.bioontology.org/ontology/ATC/M01AE01>	21
<http://purl.bioontology.org/ontology/ATC/N05BA05>	3
<http://purl.bioontology.org/ontology/ATC/J01AA13>	1
<http://purl.bioontology.org/ontology/ATC/A02BC04>	4
<http://purl.bioontology.org/ontology/ATC/B03XA05>	2
<http://purl.bioontology.org/ontology/ATC/J07AH08>	2
<http://purl.bioontology.org/ontology/ATC/J05AF01>	4
<http://purl.bioontology.org/ontology/ATC/A10AB04>	1
<http://purl.bioontology.org/ontology/ATC/L01XX35>	4
<http://purl.bioontology.org/ontology/ATC/L01EB07>	1
<http://purl.bioontology.org/ontology/ATC/C09BB04>	3
<http://purl.bioontology.org/ontology/ATC/C09DA07>	1
<http://purl.bioontology.org/ontology/ATC/V03AC02>	2
<http://purl.bioontology.org/ontology/ATC/L04AX02>	1
<http://purl.bioontology.org/ontology/ATC/C10AB04>	6
<http://purl.bioontology.org/ontology/ATC/N04BA03>	2
<http://purl.bioontology.org/ontology/ATC/J05AB01>	13
<http://purl.bioontology.org/ontology/ATC/A10BD11>	5
<http://purl.bioontology.org/ontology/ATC/H01BA02>	19
<http://purl.bioontology.org/ontology/ATC/L04AX05>	1
<http://purl.bioontology.org/ontology/ATC/J01XB01>	4
<http://purl.bioontology.org/ontology/ATC/N01AB08>	4
<http://purl.bioontology.org/ontology/ATC/J05AB06>	5
<http://purl.bioontology.org/ontology/ATC/C08DA01>	8
<http://purl.bioontology.org/ontology/ATC/J02AX05>	3
<http://purl.bioontology.org/ontology/ATC/L01ED03>	3
<http://purl.bioontology.org/ontology/ATC/C07AB02>	18
<http://purl.bioontology.org/ontology/ATC/A11CC04>	8
<http://purl.bioontology.org/ontology/ATC/A12CX>	1
<http://purl.bioontology.org/ontology/ATC/A10BD20>	5
<http://purl.bioontology.org/ontology/ATC/V03AE01>	3
<http://purl.bioontology.org/ontology/ATC/M01AA01>	2
<http://purl.bioontology.org/ontology/ATC/A11CC03>	8
<http://purl.bioontology.org/ontology/ATC/N03AF01>	13
<http://purl.bioontology.org/ontology/ATC/C01BA01>	4
<http://purl.bioontology.org/ontology/ATC/J05AF07>	12
<http://purl.bioontology.org/ontology/ATC/L02AB01>	3
<http://purl.bioontology.org/ontology/ATC/C09DA06>	1
<http://purl.bioontology.org/ontology/ATC/V03AC03>	3
<http://purl.bioontology.org/ontology/ATC/A10AB05>	2
<http://purl.bioontology.org/ontology/ATC/A02BA01>	1
<http://purl.bioontology.org/ontology/ATC/L01EB01>	1
<http://purl.bioontology.org/ontology/ATC/L01CA02>	11
<http://purl.bioontology.org/ontology/ATC/R03AL12>	1
<http://purl.bioontology.org/ontology/ATC/J07AH09>	2
<http://purl.bioontology.org/ontology/ATC/L01EJ02>	4
<http://purl.bioontology.org/ontology/ATC/C09BB02>	2
<http://purl.bioontology.org/ontology/ATC/C09DA01>	1
<http://purl.bioontology.org/ontology/ATC/J07AL52>	4
<http://purl.bioontology.org/ontology/ATC/N05BA04>	3
<http://purl.bioontology.org/ontology/ATC/A02BC05>	12
<http://purl.bioontology.org/ontology/ATC/J01AA12>	4
<http://purl.bioontology.org/ontology/ATC/M05BB03>	2
<http://purl.bioontology.org/ontology/ATC/C09DA08>	2
<http://purl.bioontology.org/ontology/ATC/A02BC02>	6
<http://purl.bioontology.org/ontology/ATC/J07AH07>	1
<http://purl.bioontology.org/ontology/ATC/B03XA03>	4
<http://purl.bioontology.org/ontology/ATC/L01EH01>	2
<http://purl.bioontology.org/ontology/ATC/H02AB06>	54
<http://purl.bioontology.org/ontology/ATC/J05AP54>	3
<http://purl.bioontology.org/ontology/ATC/G04CA52>	3
<http://purl.bioontology.org/ontology/ATC/A12BA30>	1
<http://purl.bioontology.org/ontology/ATC/L04AD02>	5
<http://purl.bioontology.org/ontology/ATC/A02AD01>	9
<http://purl.bioontology.org/ontology/ATC/R03AK07>	1
<http://purl.bioontology.org/ontology/ATC/R03AC03>	1
<http://purl.bioontology.org/ontology/ATC/A10BX16>	16
<http://purl.bioontology.org/ontology/ATC/J06BA02>	18
<http://purl.bioontology.org/ontology/ATC/B03AA03>	1
<http://purl.bioontology.org/ontology/ATC/H02AB01>	55
<http://purl.bioontology.org/ontology/ATC/H02AB08>	68
<http://purl.bioontology.org/ontology/ATC/A12BA01>	1
<http://purl.bioontology.org/ontology/ATC/A02AF02>	5
<http://purl.bioontology.org/ontology/ATC/C10BA06>	3
<http://purl.bioontology.org/ontology/ATC/L01EX04>	2
<http://purl.bioontology.org/ontology/ATC/M04AA01>	8
<http://purl.bioontology.org/ontology/ATC/J07BC01>	2
<http://purl.bioontology.org/ontology/ATC/J01CA04>	36
<http://purl.bioontology.org/ontology/ATC/L01DB06>	4
<http://purl.bioontology.org/ontology/ATC/C09AA09>	2
<http://purl.bioontology.org/ontology/ATC/J07BK02>	4
<http://purl.bioontology.org/ontology/ATC/L03AX03>	7
<http://purl.bioontology.org/ontology/ATC/B01AC08>	9
<http://purl.bioontology.org/ontology/ATC/L01DB01>	17
<http://purl.bioontology.org/ontology/ATC/B01AC30>	5
<http://purl.bioontology.org/ontology/ATC/A07BA01>	4
<http://purl.bioontology.org/ontology/ATC/N02BA51>	11
<http://purl.bioontology.org/ontology/ATC/J05AR03>	3
<http://purl.bioontology.org/ontology/ATC/B01AC06>	9
<http://purl.bioontology.org/ontology/ATC/G04CA01>	1
<http://purl.bioontology.org/ontology/ATC/J07BA02>	1
<http://purl.bioontology.org/ontology/ATC/L01BC06>	4
<http://purl.bioontology.org/ontology/ATC/C09AA07>	7
<http://purl.bioontology.org/ontology/ATC/L01BC01>	11
<http://purl.bioontology.org/ontology/ATC/L01EX05>	6
<http://purl.bioontology.org/ontology/ATC/J07BM01>	6
<http://purl.bioontology.org/ontology/ATC/L03AA14>	5
<http://purl.bioontology.org/ontology/ATC/H02AB09>	8
<http://purl.bioontology.org/ontology/ATC/N05AL01>	5
<http://purl.bioontology.org/ontology/ATC/R03AK08>	2
<http://purl.bioontology.org/ontology/ATC/L01EX02>	3
<http://purl.bioontology.org/ontology/ATC/C09BX01>	2
<http://purl.bioontology.org/ontology/ATC/C01CA07>	6
<http://purl.bioontology.org/ontology/ATC/L03AA13>	3
<http://purl.bioontology.org/ontology/ATC/L01XB01>	2
<http://purl.bioontology.org/ontology/ATC/R03AC02>	7
<http://purl.bioontology.org/ontology/ATC/A08AA62>	7
<http://purl.bioontology.org/ontology/ATC/J07BG01>	1
<http://purl.bioontology.org/ontology/ATC/C02CA06>	3
<http://purl.bioontology.org/ontology/ATC/B03AA02>	1
<http://purl.bioontology.org/ontology/ATC/A10BG03>	8
<http://purl.bioontology.org/ontology/ATC/B03AA05>	2
<http://purl.bioontology.org/ontology/ATC/G04CA53>	2
<http://purl.bioontology.org/ontology/ATC/J05AP55>	7
<http://purl.bioontology.org/ontology/ATC/N02BE51>	15
<http://purl.bioontology.org/ontology/ATC/H02AB07>	51
<http://purl.bioontology.org/ontology/ATC/J01XX05>	1
<http://purl.bioontology.org/ontology/ATC/C03CA01>	13
<http://purl.bioontology.org/ontology/ATC/L04AB01>	13
<http://purl.bioontology.org/ontology/ATC/N06AB06>	8
<http://purl.bioontology.org/ontology/ATC/C09AA01>	11
<http://purl.bioontology.org/ontology/ATC/L04AB06>	15
<http://purl.bioontology.org/ontology/ATC/C10AX09>	5
<http://purl.bioontology.org/ontology/ATC/J04BA02>	3
<http://purl.bioontology.org/ontology/ATC/N06AB08>	2
<http://purl.bioontology.org/ontology/ATC/L04AH01>	3
<http://purl.bioontology.org/ontology/ATC/L01DB07>	9
<http://purl.bioontology.org/ontology/ATC/L01BA04>	3
<http://purl.bioontology.org/ontology/ATC/A10BK01>	7
<http://purl.bioontology.org/ontology/ATC/G03HB01>	3
<http://purl.bioontology.org/ontology/ATC/J07BK03>	6
<http://purl.bioontology.org/ontology/ATC/N03AX22>	3
<http://purl.bioontology.org/ontology/ATC/L01EX12>	1
<http://purl.bioontology.org/ontology/ATC/N02AA05>	4
<http://purl.bioontology.org/ontology/ATC/L01EX13>	2
<http://purl.bioontology.org/ontology/ATC/N03AX24>	3
<http://purl.bioontology.org/ontology/ATC/C02KX04>	4
<http://purl.bioontology.org/ontology/ATC/N03AX23>	2
<http://purl.bioontology.org/ontology/ATC/P01BC02>	2
<http://purl.bioontology.org/ontology/ATC/B01AC27>	4
<http://purl.bioontology.org/ontology/ATC/H02AA02>	3
<http://purl.bioontology.org/ontology/ATC/C02AC02>	3
<http://purl.bioontology.org/ontology/ATC/N05CF01>	1
<http://purl.bioontology.org/ontology/ATC/L04AA32>	4
<http://purl.bioontology.org/ontology/ATC/R03DX07>	2
<http://purl.bioontology.org/ontology/ATC/G03XA01>	7
<http://purl.bioontology.org/ontology/ATC/N05AX15>	1
<http://purl.bioontology.org/ontology/ATC/J04AB04>	7
<http://purl.bioontology.org/ontology/ATC/R06AX22>	5
<http://purl.bioontology.org/ontology/ATC/G03AD02>	1
<http://purl.bioontology.org/ontology/ATC/N06BA07>	2
<http://purl.bioontology.org/ontology/ATC/L01EJ01>	3
<http://purl.bioontology.org/ontology/ATC/N02AB03>	5
<http://purl.bioontology.org/ontology/ATC/L01EF03>	5
<http://purl.bioontology.org/ontology/ATC/L01EX09>	7
<http://purl.bioontology.org/ontology/ATC/L01XH03>	2
<http://purl.bioontology.org/ontology/ATC/N05AH04>	10
<http://purl.bioontology.org/ontology/ATC/N03AX09>	8
<http://purl.bioontology.org/ontology/ATC/N05AD06>	3
<http://purl.bioontology.org/ontology/ATC/G03DB08>	1
<http://purl.bioontology.org/ontology/ATC/N02AA55>	2
<http://purl.bioontology.org/ontology/ATC/J05AG04>	2
<http://purl.bioontology.org/ontology/ATC/L01EK01>	1
<http://purl.bioontology.org/ontology/ATC/J05AG03>	2
<http://purl.bioontology.org/ontology/ATC/N07XX11>	1
<http://purl.bioontology.org/ontology/ATC/G03AC08>	2
<http://purl.bioontology.org/ontology/ATC/A12CB01>	1
<http://purl.bioontology.org/ontology/ATC/L01EX10>	6
<http://purl.bioontology.org/ontology/ATC/N06AX11>	1
<http://purl.bioontology.org/ontology/ATC/J01CF05>	28
<http://purl.bioontology.org/ontology/ATC/A16AX12>	2
<http://purl.bioontology.org/ontology/ATC/N05CF02>	1
<http://purl.bioontology.org/ontology/ATC/L01XG03>	1
<http://purl.bioontology.org/ontology/ATC/A02AC01>	2
<http://purl.bioontology.org/ontology/ATC/L01XK01>	10
<http://purl.bioontology.org/ontology/ATC/J05AJ04>	1
<http://purl.bioontology.org/ontology/ATC/A12CC04>	1
<http://purl.bioontology.org/ontology/ATC/A12CC03>	1
<http://purl.bioontology.org/ontology/ATC/L01CE02>	4
<http://purl.bioontology.org/ontology/ATC/A06AB58>	1
<http://purl.bioontology.org/ontology/ATC/N06AX05>	2
<http://purl.bioontology.org/ontology/ATC/N01AH01>	2
<http://purl.bioontology.org/ontology/ATC/A12CC02>	7
<http://purl.bioontology.org/ontology/ATC/A12CC05>	1
<http://purl.bioontology.org/ontology/ATC/L01ED04>	2
<http://purl.bioontology.org/ontology/ATC/B02BX05>	7
<http://purl.bioontology.org/ontology/ATC/L01XJ02>	1
<http://purl.bioontology.org/ontology/ATC/J05AP08>	3
<http://purl.bioontology.org/ontology/ATC/L01FX05>	4
<http://purl.bioontology.org/ontology/ATC/L01CD04>	1
<http://purl.bioontology.org/ontology/ATC/P01AX06>	1
<http://purl.bioontology.org/ontology/ATC/N04BD02>	2
<http://purl.bioontology.org/ontology/ATC/C08CA06>	3
<http://purl.bioontology.org/ontology/ATC/N05AE05>	1
<http://purl.bioontology.org/ontology/ATC/R03BB07>	1
<http://purl.bioontology.org/ontology/ATC/N02CC04>	2
<http://purl.bioontology.org/ontology/ATC/N02AF02>	2
<http://purl.bioontology.org/ontology/ATC/N07BC51>	2
<http://purl.bioontology.org/ontology/ATC/G02BA03>	1
<http://purl.bioontology.org/ontology/ATC/N06AF04>	1
<http://purl.bioontology.org/ontology/ATC/L02BG03>	1
<http://purl.bioontology.org/ontology/ATC/L01EX08>	4
<http://purl.bioontology.org/ontology/ATC/N07BB04>	1
<http://purl.bioontology.org/ontology/ATC/N02AE01>	4
<http://purl.bioontology.org/ontology/ATC/N07BB05>	4
<http://purl.bioontology.org/ontology/ATC/G03AC06>	1
<http://purl.bioontology.org/ontology/ATC/N04BX01>	1
<http://purl.bioontology.org/ontology/ATC/N06AG02>	1
<http://purl.bioontology.org/ontology/ATC/C08CA04>	5
<http://purl.bioontology.org/ontology/ATC/N06BA04>	5
<http://purl.bioontology.org/ontology/ATC/L01CA04>	2
<http://purl.bioontology.org/ontology/ATC/N02CC06>	2
<http://purl.bioontology.org/ontology/ATC/A06AH03>	1
<http://purl.bioontology.org/ontology/ATC/P01BB51>	1
<http://purl.bioontology.org/ontology/ATC/L02BG06>	3
<http://purl.bioontology.org/ontology/ATC/L02BA03>	2
<http://purl.bioontology.org/ontology/ATC/N02AX02>	1
<http://purl.bioontology.org/ontology/ATC/V03AB15>	1
