?o	?totalEdges
<http://snomed.info/id/429589006>	5
<http://snomed.info/id/297153009>	10
<http://snomed.info/id/90128006>	5
<http://snomed.info/id/238539001>	2
<http://snomed.info/id/22125009>	7
<http://snomed.info/id/17038008>	4
<http://snomed.info/id/307221007>	6
<http://snomed.info/id/233916004>	11
<http://snomed.info/id/432524006>	15
<http://snomed.info/id/343861000119104>	2
<http://snomed.info/id/48505000>	7
<http://snomed.info/id/4637005>	11
<http://snomed.info/id/1296646001>	2
<http://snomed.info/id/444551008>	7
<http://snomed.info/id/52845002>	45
<http://snomed.info/id/190331003>	4
<http://snomed.info/id/81318004>	3
<http://snomed.info/id/394659003>	7
<http://snomed.info/id/301770000>	28
<http://snomed.info/id/7231009>	5
<http://snomed.info/id/277804000>	1
<http://snomed.info/id/46784006>	8
<http://snomed.info/id/81934005>	1
<http://snomed.info/id/102578005>	3
<http://snomed.info/id/247819009>	7
<http://snomed.info/id/395112001>	5
<http://snomed.info/id/42345000>	24
<http://snomed.info/id/6285003>	8
<http://snomed.info/id/129899009>	10
<http://snomed.info/id/274647009>	26
<http://snomed.info/id/33624008>	1
<http://snomed.info/id/61462000>	1
<http://snomed.info/id/231494001>	31
<http://snomed.info/id/416246006>	24
<http://snomed.info/id/69668008>	1
<http://snomed.info/id/85898001>	16
<http://snomed.info/id/164888006>	1
<http://snomed.info/id/76886005>	2
<http://snomed.info/id/103268003>	1
<http://snomed.info/id/103276001>	5
<http://snomed.info/id/267819003>	2
<http://snomed.info/id/402318000>	22
<http://snomed.info/id/74474003>	53
<http://snomed.info/id/79922009>	6
<http://snomed.info/id/2783007>	4
<http://snomed.info/id/10743008>	4
<http://snomed.info/id/704426000>	8
<http://snomed.info/id/49099001>	9
<http://snomed.info/id/162221009>	74
<http://snomed.info/id/73692007>	12
<http://snomed.info/id/421869004>	4
<http://snomed.info/id/389087006>	5
<http://snomed.info/id/389086002>	11
<http://snomed.info/id/90176007>	7
<http://snomed.info/id/162469005>	1
<http://snomed.info/id/285190008>	10
<http://snomed.info/id/49071005>	1
<http://snomed.info/id/47415006>	38
<http://snomed.info/id/95385002>	7
<http://snomed.info/id/270492004>	3
<http://snomed.info/id/418341009>	9
<http://snomed.info/id/164906009>	2
<http://snomed.info/id/65958008>	24
<http://snomed.info/id/164894003>	34
<http://snomed.info/id/195042002>	2
<http://snomed.info/id/6374002>	9
<http://snomed.info/id/48724000>	3
<http://snomed.info/id/52674009>	10
<http://snomed.info/id/249406006>	1
<http://snomed.info/id/271669001>	1
<http://snomed.info/id/444931001>	2
<http://snomed.info/id/371089000>	21
<http://snomed.info/id/162477009>	1
<http://snomed.info/id/85949006>	41
<http://snomed.info/id/789588003>	9
<http://snomed.info/id/387742006>	6
<http://snomed.info/id/71792006>	5
<http://snomed.info/id/267064002>	80
<http://snomed.info/id/45154002>	19
<http://snomed.info/id/1052283003>	1
<http://snomed.info/id/74351001>	3
<http://snomed.info/id/725119006>	11
<http://snomed.info/id/15637971000119101>	4
<http://snomed.info/id/69896004>	1
<http://snomed.info/id/16294009>	4
<http://snomed.info/id/66857006>	16
<http://snomed.info/id/82545002>	1
<http://snomed.info/id/609398007>	3
<http://snomed.info/id/409622000>	3
<http://snomed.info/id/64859006>	3
<http://snomed.info/id/127040003>	2
<http://snomed.info/id/234506007>	3
<http://snomed.info/id/42952007>	1
<http://snomed.info/id/70933002>	3
<http://snomed.info/id/36171008>	10
<http://snomed.info/id/201637001>	1
<http://snomed.info/id/17173007>	13
<http://snomed.info/id/28442001>	36
<http://snomed.info/id/139394000>	26
<http://snomed.info/id/166646003>	3
<http://snomed.info/id/64766004>	10
<http://snomed.info/id/56776001>	5
<http://snomed.info/id/51197009>	8
<http://snomed.info/id/95545007>	4
<http://snomed.info/id/417186004>	12
<http://snomed.info/id/703355003>	4
<http://snomed.info/id/196047000>	3
<http://snomed.info/id/723074006>	2
<http://snomed.info/id/87248009>	34
<http://snomed.info/id/414156000>	4
<http://snomed.info/id/34000006>	6
<http://snomed.info/id/45534005>	43
<http://snomed.info/id/247812000>	3
<http://snomed.info/id/166846000>	2
<http://snomed.info/id/16269008>	11
<http://snomed.info/id/128601007>	4
<http://snomed.info/id/103017008>	8
<http://snomed.info/id/827160004>	9
<http://snomed.info/id/46206005>	8
<http://snomed.info/id/1144814003>	1
<http://snomed.info/id/367363000>	2
<http://snomed.info/id/703272007>	7
<http://snomed.info/id/146291000119108>	6
<http://snomed.info/id/349084003>	6
<http://snomed.info/id/24199005>	15
<http://snomed.info/id/37445006>	3
<http://snomed.info/id/389145006>	1
<http://snomed.info/id/269859006>	3
<http://snomed.info/id/248198001>	9
<http://snomed.info/id/165517008>	8
<http://snomed.info/id/427146008>	6
<http://snomed.info/id/117591000119103>	2
<http://snomed.info/id/47033005>	3
<http://snomed.info/id/386789004>	7
<http://snomed.info/id/166830008>	9
<http://snomed.info/id/165509000>	14
<http://snomed.info/id/165424007>	4
<http://snomed.info/id/68256003>	4
<http://snomed.info/id/24184005>	11
<http://snomed.info/id/860872005>	1
<http://snomed.info/id/51615001>	16
<http://snomed.info/id/68574006>	5
<http://snomed.info/id/21018002>	25
<http://snomed.info/id/146261000146107>	2
<http://snomed.info/id/11399002>	4
<http://snomed.info/id/389026000>	12
<http://snomed.info/id/413847001>	1
<http://snomed.info/id/91857003>	3
<http://snomed.info/id/312151007>	4
<http://snomed.info/id/123717006>	2
<http://snomed.info/id/48031000119106>	1
<http://snomed.info/id/58230007>	1
<http://snomed.info/id/38880002>	2
<http://snomed.info/id/8186001>	3
<http://snomed.info/id/83035003>	1
<http://snomed.info/id/30037006>	5
<http://snomed.info/id/232286009>	4
<http://snomed.info/id/344241000119100>	8
<http://snomed.info/id/84625002>	8
<http://snomed.info/id/46690002>	1
<http://snomed.info/id/34840004>	12
<http://snomed.info/id/1153491003>	3
<http://snomed.info/id/119247004>	11
<http://snomed.info/id/290581000119101>	1
<http://snomed.info/id/83291003>	1
<http://snomed.info/id/786878009>	3
<http://snomed.info/id/126729006>	10
<http://snomed.info/id/90727007>	1
<http://snomed.info/id/85521005>	1
<http://snomed.info/id/240679000>	7
<http://snomed.info/id/271749004>	4
<http://snomed.info/id/1197669006>	1
<http://snomed.info/id/57630001>	3
<http://snomed.info/id/55607006>	9
<http://snomed.info/id/91081006>	33
<http://snomed.info/id/166715006>	3
<http://snomed.info/id/274672009>	4
<http://snomed.info/id/65172003>	13
<http://snomed.info/id/370469003>	1
<http://snomed.info/id/702718005>	15
<http://snomed.info/id/124078008>	1
<http://snomed.info/id/62511000146107>	1
<http://snomed.info/id/711537006>	1
<http://snomed.info/id/292937002>	2
<http://snomed.info/id/82272006>	2
<http://snomed.info/id/217082002>	1
<http://snomed.info/id/251159007>	2
<http://snomed.info/id/410548003>	5
<http://snomed.info/id/700143000>	7
<http://snomed.info/id/225624000>	14
<http://snomed.info/id/733082001>	3
<http://snomed.info/id/305537003>	3
<http://snomed.info/id/128045006>	35
<http://snomed.info/id/722401001>	4
<http://snomed.info/id/124059008>	3
<http://snomed.info/id/314116003>	8
<http://snomed.info/id/233958001>	9
<http://snomed.info/id/827180003>	2
<http://snomed.info/id/271761007>	4
<http://snomed.info/id/279074008>	1
<http://snomed.info/id/302233006>	1
<http://snomed.info/id/194849004>	1
<http://snomed.info/id/22996003>	4
<http://snomed.info/id/46085004>	1
<http://snomed.info/id/26214006>	2
<http://snomed.info/id/234043001>	1
<http://snomed.info/id/450886002>	17
<http://snomed.info/id/432119003>	13
<http://snomed.info/id/7071000119102>	2
<http://snomed.info/id/293141009>	1
<http://snomed.info/id/67967009>	1
<http://snomed.info/id/249856008>	1
<http://snomed.info/id/201067006>	11
<http://snomed.info/id/771113001>	4
<http://snomed.info/id/1217063004>	5
<http://snomed.info/id/166467009>	1
<http://snomed.info/id/1260345007>	6
<http://snomed.info/id/789507005>	10
<http://snomed.info/id/40275004>	12
<http://snomed.info/id/95524000>	8
<http://snomed.info/id/30731004>	15
<http://snomed.info/id/235058001>	8
<http://snomed.info/id/279072007>	2
<http://snomed.info/id/11114002>	3
<http://snomed.info/id/262603003>	1
<http://snomed.info/id/161831008>	3
<http://snomed.info/id/67733005>	2
<http://snomed.info/id/1186852004>	14
<http://snomed.info/id/54319003>	10
<http://snomed.info/id/58250006>	12
<http://snomed.info/id/319297003>	6
<http://snomed.info/id/55759009>	4
<http://snomed.info/id/5332004>	12
<http://snomed.info/id/83785004>	2
<http://snomed.info/id/386790008>	21
<http://snomed.info/id/62607004>	9
<http://snomed.info/id/191983006>	14
<http://snomed.info/id/37125009>	27
<http://snomed.info/id/237662005>	25
<http://snomed.info/id/56265001>	3
<http://snomed.info/id/71639005>	2
<http://snomed.info/id/6273006>	36
<http://snomed.info/id/1254795002>	6
<http://snomed.info/id/402658008>	7
<http://snomed.info/id/4776004>	6
<http://snomed.info/id/118940003>	4
<http://snomed.info/id/7180009>	8
<http://snomed.info/id/45170000>	7
<http://snomed.info/id/24700007>	6
<http://snomed.info/id/1263495005>	1
<http://snomed.info/id/193093009>	1
<http://snomed.info/id/443961001>	1
<http://snomed.info/id/398838000>	2
<http://snomed.info/id/403202002>	1
<http://snomed.info/id/22686009>	1
<http://snomed.info/id/1259564005>	3
<http://snomed.info/id/1531000146108>	2
<http://snomed.info/id/77971008>	3
<http://snomed.info/id/723976005>	1
<http://snomed.info/id/442528007>	1
<http://snomed.info/id/127225006>	1
<http://snomed.info/id/700423003>	1
<http://snomed.info/id/31541009>	5
<http://snomed.info/id/65074000>	2
<http://snomed.info/id/16711191000119109>	2
<http://snomed.info/id/90708001>	15
<http://snomed.info/id/897307002>	2
<http://snomed.info/id/197210001>	1
<http://snomed.info/id/24079001>	4
<http://snomed.info/id/50920009>	6
<http://snomed.info/id/103611000119102>	2
<http://snomed.info/id/764453009>	5
<http://snomed.info/id/88311004>	11
<http://snomed.info/id/95570007>	5
<http://snomed.info/id/710072005>	1
<http://snomed.info/id/235856003>	11
<http://snomed.info/id/425512003>	1
<http://snomed.info/id/1336222000>	1
<http://snomed.info/id/10601006>	2
<http://snomed.info/id/279036000>	6
<http://snomed.info/id/63305008>	3
<http://snomed.info/id/699687003>	1
<http://snomed.info/id/88092000>	13
<http://snomed.info/id/62507009>	6
<http://snomed.info/id/111245009>	4
<http://snomed.info/id/406506008>	1
<http://snomed.info/id/307700006>	3
<http://snomed.info/id/238813009>	3
<http://snomed.info/id/707724006>	6
<http://snomed.info/id/443828007>	2
<http://snomed.info/id/37871000>	9
<http://snomed.info/id/405538007>	4
<http://snomed.info/id/1142111009>	3
<http://snomed.info/id/314944001>	5
<http://snomed.info/id/237872005>	6
<http://snomed.info/id/68052005>	5
<http://snomed.info/id/74776002>	6
<http://snomed.info/id/198116001>	5
<http://snomed.info/id/711151004>	14
<http://snomed.info/id/789043007>	8
<http://snomed.info/id/274279008>	4
<http://snomed.info/id/8011004>	33
<http://snomed.info/id/113941000146103>	5
<http://snomed.info/id/428255004>	10
<http://snomed.info/id/13920009>	14
<http://snomed.info/id/34742003>	3
<http://snomed.info/id/28743005>	3
<http://snomed.info/id/301246003>	1
<http://snomed.info/id/268381001>	2
<http://snomed.info/id/52073004>	6
<http://snomed.info/id/52754008>	1
<http://snomed.info/id/87228002>	1
<http://snomed.info/id/419728003>	1
<http://snomed.info/id/161939006>	1
<http://snomed.info/id/128462008>	8
<http://snomed.info/id/722892007>	6
<http://snomed.info/id/402686000>	1
<http://snomed.info/id/863935001>	2
<http://snomed.info/id/95663000>	1
<http://snomed.info/id/162115004>	1
<http://snomed.info/id/9062008>	4
<http://snomed.info/id/773735007>	1
<http://snomed.info/id/15528006>	4
<http://snomed.info/id/715140008>	3
<http://snomed.info/id/427022004>	1
<http://snomed.info/id/76571007>	8
<http://snomed.info/id/166714005>	7
<http://snomed.info/id/34881000119105>	3
<http://snomed.info/id/21112004>	1
<http://snomed.info/id/95347000>	8
<http://snomed.info/id/130968006>	2
<http://snomed.info/id/82313006>	12
<http://snomed.info/id/262966007>	6
<http://snomed.info/id/430400006>	1
<http://snomed.info/id/267384006>	5
<http://snomed.info/id/40445007>	5
<http://snomed.info/id/713029000>	4
<http://snomed.info/id/161833006>	3
<http://snomed.info/id/165661006>	1
<http://snomed.info/id/134199001>	1
<http://snomed.info/id/102449007>	19
<http://snomed.info/id/141000119100>	12
<http://snomed.info/id/88822006>	17
<http://snomed.info/id/248036002>	7
<http://snomed.info/id/402168004>	5
<http://snomed.info/id/284499009>	3
<http://snomed.info/id/409036009>	4
<http://snomed.info/id/704488001>	6
<http://snomed.info/id/231473004>	6
<http://snomed.info/id/41784005>	7
<http://snomed.info/id/85758008>	11
<http://snomed.info/id/160685001>	2
<http://snomed.info/id/156601000146108>	6
<http://snomed.info/id/11781000146104>	3
<http://snomed.info/id/274769005>	8
<http://snomed.info/id/301939004>	11
<http://snomed.info/id/15802004>	29
<http://snomed.info/id/371102005>	1
<http://snomed.info/id/77471000119103>	3
<http://snomed.info/id/301701000119102>	1
<http://snomed.info/id/162200009>	2
<http://snomed.info/id/397540003>	2
<http://snomed.info/id/246638009>	2
<http://snomed.info/id/296853003>	2
<http://snomed.info/id/111558006>	1
<http://snomed.info/id/48447003>	1
<http://snomed.info/id/431674004>	4
<http://snomed.info/id/721181006>	3
<http://snomed.info/id/269695001>	4
<http://snomed.info/id/247342009>	6
<http://snomed.info/id/125670008>	5
<http://snomed.info/id/61582004>	6
<http://snomed.info/id/162400007>	7
<http://snomed.info/id/699392007>	4
<http://snomed.info/id/278528006>	9
<http://snomed.info/id/299954009>	7
<http://snomed.info/id/29966009>	16
<http://snomed.info/id/40196000>	1
<http://snomed.info/id/441457006>	7
<http://snomed.info/id/285145004>	33
<http://snomed.info/id/87881000119106>	5
<http://snomed.info/id/129127001>	2
<http://snomed.info/id/419188005>	4
<http://snomed.info/id/83469008>	3
<http://snomed.info/id/427393009>	1
<http://snomed.info/id/95527007>	5
<http://snomed.info/id/441775006>	3
<http://snomed.info/id/289860007>	1
<http://snomed.info/id/60704006>	10
<http://snomed.info/id/248787007>	2
<http://snomed.info/id/82636008>	5
<http://snomed.info/id/290070001>	2
<http://snomed.info/id/95665007>	3
<http://snomed.info/id/77743009>	15
<http://snomed.info/id/128351009>	4
<http://snomed.info/id/82721003>	1
<http://snomed.info/id/414941008>	3
<http://snomed.info/id/71785001>	1
<http://snomed.info/id/420422005>	12
<http://snomed.info/id/6140007>	2
<http://snomed.info/id/247917007>	4
<http://snomed.info/id/287731003>	6
<http://snomed.info/id/420662003>	1
<http://snomed.info/id/73430006>	8
<http://snomed.info/id/68978004>	12
<http://snomed.info/id/418092006>	3
<http://snomed.info/id/445398008>	1
<http://snomed.info/id/363375006>	1
<http://snomed.info/id/233662009>	1
<http://snomed.info/id/72042002>	8
<http://snomed.info/id/870344006>	2
<http://snomed.info/id/400201008>	3
<http://snomed.info/id/43029002>	1
<http://snomed.info/id/846676008>	2
<http://snomed.info/id/276695003>	2
<http://snomed.info/id/72366004>	6
<http://snomed.info/id/200667003>	2
<http://snomed.info/id/95396005>	1
<http://snomed.info/id/95397001>	3
<http://snomed.info/id/95400005>	1
<http://snomed.info/id/419099009>	2
<http://snomed.info/id/303266002>	1
<http://snomed.info/id/302873008>	22
<http://snomed.info/id/17329003>	1
<http://snomed.info/id/206492004>	1
<http://snomed.info/id/830119000>	1
<http://snomed.info/id/78584008>	1
<http://snomed.info/id/95437004>	1
<http://snomed.info/id/60845006>	3
<http://snomed.info/id/102594003>	6
<http://snomed.info/id/719590007>	1
<http://snomed.info/id/444316004>	3
<http://snomed.info/id/40401000146102>	2
<http://snomed.info/id/33958003>	1
<http://snomed.info/id/12901000146102>	1
<http://snomed.info/id/1197782006>	11
<http://snomed.info/id/312956001>	6
<http://snomed.info/id/188732008>	2
<http://snomed.info/id/26237000>	2
<http://snomed.info/id/17366009>	3
<http://snomed.info/id/40593004>	4
<http://snomed.info/id/284078000>	5
<http://snomed.info/id/846627002>	2
<http://snomed.info/id/1187027009>	7
<http://snomed.info/id/170766006>	1
<http://snomed.info/id/77090002>	9
<http://snomed.info/id/1259080009>	1
<http://snomed.info/id/48130008>	6
<http://snomed.info/id/82991003>	5
<http://snomed.info/id/131076004>	1
<http://snomed.info/id/87696004>	7
<http://snomed.info/id/251144001>	4
<http://snomed.info/id/55930002>	2
<http://snomed.info/id/54552008>	15
<http://snomed.info/id/112222000>	9
<http://snomed.info/id/15747041000119100>	2
<http://snomed.info/id/50112006>	7
<http://snomed.info/id/299709002>	3
<http://snomed.info/id/81010002>	5
<http://snomed.info/id/271801002>	17
<http://snomed.info/id/49844009>	2
<http://snomed.info/id/41291007>	18
<http://snomed.info/id/43732005>	3
<http://snomed.info/id/762349007>	2
<http://snomed.info/id/704304000>	5
<http://snomed.info/id/241984000>	3
<http://snomed.info/id/232083008>	1
<http://snomed.info/id/346631000119103>	5
<http://snomed.info/id/86113003>	3
<http://snomed.info/id/48661000>	12
<http://snomed.info/id/4740000>	22
<http://snomed.info/id/235055003>	2
<http://snomed.info/id/234457009>	3
<http://snomed.info/id/11003002>	3
<http://snomed.info/id/307496006>	10
<http://snomed.info/id/48245008>	2
<http://snomed.info/id/428794004>	8
<http://snomed.info/id/609211000>	1
<http://snomed.info/id/55342001>	4
<http://snomed.info/id/118600007>	11
<http://snomed.info/id/416596008>	3
<http://snomed.info/id/89077005>	4
<http://snomed.info/id/9140006>	1
<http://snomed.info/id/102476007>	3
<http://snomed.info/id/373895009>	3
<http://snomed.info/id/253726006>	1
<http://snomed.info/id/28366008>	2
<http://snomed.info/id/315348000>	2
<http://snomed.info/id/65198009>	7
<http://snomed.info/id/89155008>	4
<http://snomed.info/id/736499003>	1
<http://snomed.info/id/66688008>	2
<http://snomed.info/id/67725009>	5
<http://snomed.info/id/24612001>	2
<http://snomed.info/id/441913003>	2
<http://snomed.info/id/23924001>	11
<http://snomed.info/id/123640000>	3
<http://snomed.info/id/45913009>	8
<http://snomed.info/id/65363002>	2
<http://snomed.info/id/697990000>	3
<http://snomed.info/id/238525001>	1
<http://snomed.info/id/700055009>	1
<http://snomed.info/id/56019007>	1
<http://snomed.info/id/238988008>	1
<http://snomed.info/id/866265009>	8
<http://snomed.info/id/895448002>	1
<http://snomed.info/id/33401000119102>	2
<http://snomed.info/id/860867001>	2
<http://snomed.info/id/90446007>	3
<http://snomed.info/id/68267002>	11
<http://snomed.info/id/307052004>	1
<http://snomed.info/id/371136004>	1
<http://snomed.info/id/91941002>	9
<http://snomed.info/id/95817008>	3
<http://snomed.info/id/26597004>	1
<http://snomed.info/id/47903000>	4
<http://snomed.info/id/166940007>	3
<http://snomed.info/id/197480006>	6
<http://snomed.info/id/49049000>	7
<http://snomed.info/id/235664007>	4
<http://snomed.info/id/15405008>	3
<http://snomed.info/id/71908006>	20
<http://snomed.info/id/9713002>	3
<http://snomed.info/id/52404001>	1
<http://snomed.info/id/816082000>	12
<http://snomed.info/id/7093002>	1
<http://snomed.info/id/1163483009>	3
<http://snomed.info/id/12561000132105>	1
<http://snomed.info/id/44274007>	1
<http://snomed.info/id/36420002>	2
<http://snomed.info/id/397513003>	2
<http://snomed.info/id/8900005>	5
<http://snomed.info/id/2177002>	1
<http://snomed.info/id/23056005>	3
<http://snomed.info/id/46670006>	1
<http://snomed.info/id/1482004>	1
<http://snomed.info/id/74990005>	1
<http://snomed.info/id/80060002>	5
<http://snomed.info/id/414032001>	9
<http://snomed.info/id/193250002>	1
<http://snomed.info/id/44730006>	10
<http://snomed.info/id/703468005>	1
<http://snomed.info/id/44653001>	4
<http://snomed.info/id/369747003>	1
<http://snomed.info/id/11888009>	1
<http://snomed.info/id/403768004>	2
<http://snomed.info/id/60733007>	1
<http://snomed.info/id/74450001>	1
<http://snomed.info/id/37064009>	1
<http://snomed.info/id/719848005>	1
<http://snomed.info/id/84984002>	1
<http://snomed.info/id/277879009>	4
<http://snomed.info/id/82473003>	1
<http://snomed.info/id/398151007>	5
<http://snomed.info/id/23414001>	3
<http://snomed.info/id/301919003>	6
<http://snomed.info/id/399463004>	4
<http://snomed.info/id/86927009>	1
<http://snomed.info/id/128485009>	5
<http://snomed.info/id/1084691000119100>	1
<http://snomed.info/id/37151006>	3
<http://snomed.info/id/36118008>	5
<http://snomed.info/id/46621007>	5
<http://snomed.info/id/62744007>	1
<http://snomed.info/id/111378004>	1
<http://snomed.info/id/271823003>	5
<http://snomed.info/id/81950002>	11
<http://snomed.info/id/85316008>	1
<http://snomed.info/id/235674005>	19
<http://snomed.info/id/77880009>	4
<http://snomed.info/id/816992006>	4
<http://snomed.info/id/46742003>	6
<http://snomed.info/id/247430000>	3
<http://snomed.info/id/445328000>	2
<http://snomed.info/id/165582006>	3
<http://snomed.info/id/293349003>	1
<http://snomed.info/id/250400003>	2
<http://snomed.info/id/180761000146106>	1
<http://snomed.info/id/438457000>	1
<http://snomed.info/id/52613005>	2
<http://snomed.info/id/81141003>	1
<http://snomed.info/id/275741008>	3
<http://snomed.info/id/668031000005107>	1
<http://snomed.info/id/73481001>	2
<http://snomed.info/id/86684002>	1
<http://snomed.info/id/405729008>	10
<http://snomed.info/id/450005>	9
<http://snomed.info/id/249274008>	1
<http://snomed.info/id/236717007>	3
<http://snomed.info/id/2472002>	15
<http://snomed.info/id/1230406008>	5
<http://snomed.info/id/162182005>	6
<http://snomed.info/id/61714007>	2
<http://snomed.info/id/69954004>	2
<http://snomed.info/id/65761003>	4
<http://snomed.info/id/372244006>	13
<http://snomed.info/id/79879001>	4
<http://snomed.info/id/166702002>	3
<http://snomed.info/id/301717006>	5
<http://snomed.info/id/32914008>	3
<http://snomed.info/id/70790008>	2
<http://snomed.info/id/45352006>	9
<http://snomed.info/id/73744004>	8
<http://snomed.info/id/61336008>	1
<http://snomed.info/id/55630000>	3
<http://snomed.info/id/399317006>	5
<http://snomed.info/id/55222007>	3
<http://snomed.info/id/427194007>	1
<http://snomed.info/id/863955000>	1
<http://snomed.info/id/405947006>	5
<http://snomed.info/id/87866006>	10
<http://snomed.info/id/427172004>	2
<http://snomed.info/id/95365001>	8
<http://snomed.info/id/863889003>	1
<http://snomed.info/id/43364001>	3
<http://snomed.info/id/292371003>	1
<http://snomed.info/id/307541003>	2
<http://snomed.info/id/110279003>	1
<http://snomed.info/id/95404001>	2
<http://snomed.info/id/111591002>	1
<http://snomed.info/id/363500001>	2
<http://snomed.info/id/44991000119100>	2
<http://snomed.info/id/24782002>	2
<http://snomed.info/id/276444007>	7
<http://snomed.info/id/36123008>	1
<http://snomed.info/id/816203001>	2
<http://snomed.info/id/26460006>	1
<http://snomed.info/id/10854141000119104>	1
<http://snomed.info/id/473011001>	9
<http://snomed.info/id/124134002>	1
<http://snomed.info/id/38959009>	7
<http://snomed.info/id/196754001>	2
<http://snomed.info/id/102361000119104>	1
<http://snomed.info/id/201436003>	1
<http://snomed.info/id/68600005>	4
<http://snomed.info/id/271584002>	3
<http://snomed.info/id/1144748009>	3
<http://snomed.info/id/95324001>	3
<http://snomed.info/id/56840009>	2
<http://snomed.info/id/372070002>	2
<http://snomed.info/id/1082711000119108>	3
<http://snomed.info/id/301822002>	2
<http://snomed.info/id/289894009>	1
<http://snomed.info/id/162037008>	1
<http://snomed.info/id/449703000>	2
<http://snomed.info/id/415115007>	15
<http://snomed.info/id/396697000>	10
<http://snomed.info/id/863931005>	3
<http://snomed.info/id/274724004>	3
<http://snomed.info/id/27719009>	1
<http://snomed.info/id/161898004>	1
<http://snomed.info/id/83943005>	3
<http://snomed.info/id/64206003>	5
<http://snomed.info/id/48638002>	5
<http://snomed.info/id/71938000>	6
<http://snomed.info/id/267045008>	9
<http://snomed.info/id/149111000146107>	3
<http://snomed.info/id/266579006>	5
<http://snomed.info/id/237460007>	4
<http://snomed.info/id/21470009>	4
<http://snomed.info/id/863930006>	8
<http://snomed.info/id/768961004>	1
<http://snomed.info/id/95891005>	4
<http://snomed.info/id/74530003>	4
<http://snomed.info/id/308688005>	1
<http://snomed.info/id/42030000>	1
<http://snomed.info/id/275719008>	2
<http://snomed.info/id/110004001>	1
<http://snomed.info/id/65617004>	3
<http://snomed.info/id/292238004>	1
<http://snomed.info/id/37226004>	8
<http://snomed.info/id/1197717008>	1
<http://snomed.info/id/95402002>	10
<http://snomed.info/id/16541001>	1
<http://snomed.info/id/151111000119100>	1
<http://snomed.info/id/95528002>	1
<http://snomed.info/id/25289003>	6
<http://snomed.info/id/418072004>	2
<http://snomed.info/id/8217007>	2
<http://snomed.info/id/218951000119100>	4
<http://snomed.info/id/63761000146107>	2
<http://snomed.info/id/11092001>	12
<http://snomed.info/id/43378000>	8
<http://snomed.info/id/55525008>	11
<http://snomed.info/id/10399008>	11
<http://snomed.info/id/289195008>	2
<http://snomed.info/id/77692006>	9
<http://snomed.info/id/247322000>	3
<http://snomed.info/id/442276009>	1
<http://snomed.info/id/18611000146109>	1
<http://snomed.info/id/81910000>	5
<http://snomed.info/id/84371000119108>	1
<http://snomed.info/id/4855003>	8
<http://snomed.info/id/31321000119102>	1
<http://snomed.info/id/1269540006>	1
<http://snomed.info/id/213338000>	11
<http://snomed.info/id/237840007>	3
<http://snomed.info/id/8644006>	6
<http://snomed.info/id/271795006>	1
<http://snomed.info/id/91217009>	1
<http://snomed.info/id/190633005>	4
<http://snomed.info/id/420054005>	2
<http://snomed.info/id/105593004>	5
<http://snomed.info/id/863929001>	2
<http://snomed.info/id/274401005>	1
<http://snomed.info/id/414545008>	11
<http://snomed.info/id/238691005>	2
<http://snomed.info/id/67015007>	1
<http://snomed.info/id/95565000>	3
<http://snomed.info/id/237632004>	2
<http://snomed.info/id/49260003>	2
<http://snomed.info/id/161541000119104>	1
<http://snomed.info/id/108365000>	9
<http://snomed.info/id/45265000>	1
<http://snomed.info/id/238575004>	1
<http://snomed.info/id/302157000>	4
<http://snomed.info/id/721898008>	1
<http://snomed.info/id/402831004>	1
<http://snomed.info/id/73162004>	1
<http://snomed.info/id/292659003>	1
<http://snomed.info/id/247442005>	1
<http://snomed.info/id/77981007>	3
<http://snomed.info/id/771417007>	3
<http://snomed.info/id/64634000>	4
<http://snomed.info/id/61860000>	2
<http://snomed.info/id/61003004>	1
<http://snomed.info/id/1335872000>	7
<http://snomed.info/id/367542003>	3
<http://snomed.info/id/248447001>	4
<http://snomed.info/id/312594005>	1
<http://snomed.info/id/1197706007>	4
<http://snomed.info/id/237500008>	6
<http://snomed.info/id/1157255008>	1
<http://snomed.info/id/95900002>	4
<http://snomed.info/id/271846001>	1
<http://snomed.info/id/34713006>	2
<http://snomed.info/id/15454001>	12
<http://snomed.info/id/702810006>	1
<http://snomed.info/id/129121000146104>	1
<http://snomed.info/id/165939003>	1
<http://snomed.info/id/1186937007>	2
<http://snomed.info/id/166668008>	6
<http://snomed.info/id/448175007>	1
<http://snomed.info/id/95391000>	2
<http://snomed.info/id/309685001>	1
<http://snomed.info/id/110299009>	1
<http://snomed.info/id/20313009>	1
<http://snomed.info/id/863954001>	5
<http://snomed.info/id/57653000>	2
<http://snomed.info/id/193198003>	9
<http://snomed.info/id/240706001>	1
<http://snomed.info/id/312155003>	6
<http://snomed.info/id/417017003>	3
<http://snomed.info/id/443371007>	1
<http://snomed.info/id/53686002>	1
<http://snomed.info/id/124870002>	5
<http://snomed.info/id/165555003>	6
<http://snomed.info/id/166643006>	1
<http://snomed.info/id/11193009>	10
<http://snomed.info/id/289596002>	2
<http://snomed.info/id/285219002>	1
<http://snomed.info/id/44679005>	3
<http://snomed.info/id/102581000>	2
<http://snomed.info/id/416462003>	2
<http://snomed.info/id/312196000>	3
<http://snomed.info/id/363233007>	3
<http://snomed.info/id/1296758008>	2
<http://snomed.info/id/1776003>	3
<http://snomed.info/id/428586009>	5
<http://snomed.info/id/386783003>	3
