?o	?totalEdges
<http://snomed.info/id/30588004>	11
<http://snomed.info/id/240358005>	3
<http://snomed.info/id/277605001>	38
<http://snomed.info/id/26889001>	25
<http://snomed.info/id/56170001>	13
<http://snomed.info/id/246656009>	6
<http://snomed.info/id/7119001>	20
<http://snomed.info/id/372087000>	3
<http://snomed.info/id/721306009>	14
<http://snomed.info/id/89627008>	109
<http://snomed.info/id/190855004>	50
<http://snomed.info/id/40226000>	67
<http://snomed.info/id/4969004>	4
<http://snomed.info/id/37796009>	54
<http://snomed.info/id/160269002>	3
<http://snomed.info/id/14760008>	15
<http://snomed.info/id/490008>	2
<http://snomed.info/id/165397008>	18
<http://snomed.info/id/165414004>	8
<http://snomed.info/id/58077008>	5
<http://snomed.info/id/70076002>	83
<http://snomed.info/id/60862001>	164
<http://snomed.info/id/724636005>	1
<http://snomed.info/id/39898005>	124
<http://snomed.info/id/48867003>	74
<http://snomed.info/id/290077003>	24
<http://snomed.info/id/164895002>	1
<http://snomed.info/id/31722008>	54
<http://snomed.info/id/25569003>	22
<http://snomed.info/id/96311000119109>	1
<http://snomed.info/id/194828000>	83
<http://snomed.info/id/840580004>	1
<http://snomed.info/id/249504006>	184
<http://snomed.info/id/70932007>	29
<http://snomed.info/id/860914002>	111
<http://snomed.info/id/302866003>	110
<http://snomed.info/id/702376003>	6
<http://snomed.info/id/410429000>	52
<http://snomed.info/id/44416002>	6
<http://snomed.info/id/232150003>	5
<http://snomed.info/id/162290004>	49
<http://snomed.info/id/312230002>	124
<http://snomed.info/id/9014002>	19
<http://snomed.info/id/7847004>	22
<http://snomed.info/id/308856004>	3
<http://snomed.info/id/409587002>	7
<http://snomed.info/id/396330006>	2
<http://snomed.info/id/9360008>	5
<http://snomed.info/id/448089004>	37
<http://snomed.info/id/84757009>	10
<http://snomed.info/id/419076005>	113
<http://snomed.info/id/18963009>	24
<http://snomed.info/id/193028008>	58
<http://snomed.info/id/53430007>	17
<http://snomed.info/id/64996003>	1
<http://snomed.info/id/8357008>	69
<http://snomed.info/id/422400008>	69
<http://snomed.info/id/249519007>	13
<http://snomed.info/id/198113009>	3
<http://snomed.info/id/78048006>	45
<http://snomed.info/id/58436003>	6
<http://snomed.info/id/782197009>	11
<http://snomed.info/id/11543004>	1
<http://snomed.info/id/32861005>	20
<http://snomed.info/id/162157005>	19
<http://snomed.info/id/54302000>	8
<http://snomed.info/id/276882005>	1
<http://snomed.info/id/254838004>	7
<http://snomed.info/id/49436004>	68
<http://snomed.info/id/289530006>	18
<http://snomed.info/id/424196004>	19
<http://snomed.info/id/20376005>	3
<http://snomed.info/id/271941007>	9
<http://snomed.info/id/20036005>	2
<http://snomed.info/id/249473004>	18
<http://snomed.info/id/371405004>	3
<http://snomed.info/id/414086009>	10
<http://snomed.info/id/111293003>	37
<http://snomed.info/id/1263547004>	1
<http://snomed.info/id/249517009>	156
<http://snomed.info/id/95320005>	14
<http://snomed.info/id/399939002>	31
<http://snomed.info/id/279425004>	2
<http://snomed.info/id/55300003>	71
<http://snomed.info/id/128606002>	2
<http://snomed.info/id/68566005>	94
<http://snomed.info/id/79604008>	3
<http://snomed.info/id/12337004>	1
<http://snomed.info/id/5552004>	2
<http://snomed.info/id/198336007>	1
<http://snomed.info/id/23462007>	2
<http://snomed.info/id/31908003>	6
<http://snomed.info/id/271808008>	9
<http://snomed.info/id/213257006>	6
<http://snomed.info/id/399153001>	148
<http://snomed.info/id/266474003>	36
<http://snomed.info/id/43724002>	111
<http://snomed.info/id/14140009>	78
