?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/A02AD01>	5
<http://purl.bioontology.org/ontology/ATC/R03AC03>	1
<http://purl.bioontology.org/ontology/ATC/J06BA02>	6
<http://purl.bioontology.org/ontology/ATC/G03AA11>	35
<http://purl.bioontology.org/ontology/ATC/B03AA03>	1
<http://purl.bioontology.org/ontology/ATC/H02AB01>	11
<http://purl.bioontology.org/ontology/ATC/N07XX05>	3
<http://purl.bioontology.org/ontology/ATC/G03AA18>	28
<http://purl.bioontology.org/ontology/ATC/H02AB08>	16
<http://purl.bioontology.org/ontology/ATC/A12BA01>	5
<http://purl.bioontology.org/ontology/ATC/A02AF02>	4
<http://purl.bioontology.org/ontology/ATC/C10BA06>	4
<http://purl.bioontology.org/ontology/ATC/L01EX04>	1
<http://purl.bioontology.org/ontology/ATC/J05AR04>	3
<http://purl.bioontology.org/ontology/ATC/J07BC01>	6
<http://purl.bioontology.org/ontology/ATC/J01CA04>	8
<http://purl.bioontology.org/ontology/ATC/L01DB06>	6
<http://purl.bioontology.org/ontology/ATC/C09AA09>	2
<http://purl.bioontology.org/ontology/ATC/J07BK02>	3
<http://purl.bioontology.org/ontology/ATC/L03AX03>	4
<http://purl.bioontology.org/ontology/ATC/B01AC08>	13
<http://purl.bioontology.org/ontology/ATC/L01DB01>	11
<http://purl.bioontology.org/ontology/ATC/B01AC30>	7
<http://purl.bioontology.org/ontology/ATC/A07BA01>	13
<http://purl.bioontology.org/ontology/ATC/N02BA51>	21
<http://purl.bioontology.org/ontology/ATC/J05AR03>	1
<http://purl.bioontology.org/ontology/ATC/B01AC06>	13
<http://purl.bioontology.org/ontology/ATC/G04CA01>	3
<http://purl.bioontology.org/ontology/ATC/J07BA02>	4
<http://purl.bioontology.org/ontology/ATC/L01BC06>	10
<http://purl.bioontology.org/ontology/ATC/C09AA07>	2
<http://purl.bioontology.org/ontology/ATC/L01BC01>	5
<http://purl.bioontology.org/ontology/ATC/J07BM01>	1
<http://purl.bioontology.org/ontology/ATC/H02AB09>	4
<http://purl.bioontology.org/ontology/ATC/N05AL01>	3
<http://purl.bioontology.org/ontology/ATC/C09BX01>	18
<http://purl.bioontology.org/ontology/ATC/C01CA07>	14
<http://purl.bioontology.org/ontology/ATC/L03AA13>	1
<http://purl.bioontology.org/ontology/ATC/L01XB01>	3
<http://purl.bioontology.org/ontology/ATC/A08AA62>	9
<http://purl.bioontology.org/ontology/ATC/J07BG01>	3
<http://purl.bioontology.org/ontology/ATC/C02CA06>	1
<http://purl.bioontology.org/ontology/ATC/G03AA10>	28
<http://purl.bioontology.org/ontology/ATC/B03AA02>	7
<http://purl.bioontology.org/ontology/ATC/A10BG03>	5
<http://purl.bioontology.org/ontology/ATC/B03AA05>	8
<http://purl.bioontology.org/ontology/ATC/G04CA53>	7
<http://purl.bioontology.org/ontology/ATC/J05AP55>	1
<http://purl.bioontology.org/ontology/ATC/N02BE51>	20
<http://purl.bioontology.org/ontology/ATC/H02AB07>	5
<http://purl.bioontology.org/ontology/ATC/J01XX05>	4
<http://purl.bioontology.org/ontology/ATC/C03CA01>	6
<http://purl.bioontology.org/ontology/ATC/L04AB01>	2
<http://purl.bioontology.org/ontology/ATC/C09AA01>	2
<http://purl.bioontology.org/ontology/ATC/L04AB06>	4
<http://purl.bioontology.org/ontology/ATC/J04BA02>	2
<http://purl.bioontology.org/ontology/ATC/B01AA04>	12
<http://purl.bioontology.org/ontology/ATC/L01DB07>	2
<http://purl.bioontology.org/ontology/ATC/G03HB01>	19
<http://purl.bioontology.org/ontology/ATC/N02AA05>	8
<http://purl.bioontology.org/ontology/ATC/J05AG01>	6
<http://purl.bioontology.org/ontology/ATC/N03AX24>	1
<http://purl.bioontology.org/ontology/ATC/C02KX04>	3
<http://purl.bioontology.org/ontology/ATC/N03AX23>	1
<http://purl.bioontology.org/ontology/ATC/P01BC02>	11
<http://purl.bioontology.org/ontology/ATC/B01AC27>	10
<http://purl.bioontology.org/ontology/ATC/H02AA02>	5
<http://purl.bioontology.org/ontology/ATC/N05CF01>	5
<http://purl.bioontology.org/ontology/ATC/L04AA32>	1
<http://purl.bioontology.org/ontology/ATC/R03DX07>	1
<http://purl.bioontology.org/ontology/ATC/G03XA01>	8
<http://purl.bioontology.org/ontology/ATC/J04AB04>	3
<http://purl.bioontology.org/ontology/ATC/N06BA07>	1
<http://purl.bioontology.org/ontology/ATC/L01EJ01>	1
<http://purl.bioontology.org/ontology/ATC/N02AB03>	12
<http://purl.bioontology.org/ontology/ATC/J05AX09>	1
<http://purl.bioontology.org/ontology/ATC/L01EX09>	2
<http://purl.bioontology.org/ontology/ATC/N05AD06>	4
<http://purl.bioontology.org/ontology/ATC/G03DB08>	6
<http://purl.bioontology.org/ontology/ATC/N02AA55>	9
<http://purl.bioontology.org/ontology/ATC/G03AC09>	7
<http://purl.bioontology.org/ontology/ATC/J05AG03>	5
<http://purl.bioontology.org/ontology/ATC/G03AC08>	4
<http://purl.bioontology.org/ontology/ATC/J01CF05>	4
<http://purl.bioontology.org/ontology/ATC/N05CF02>	6
<http://purl.bioontology.org/ontology/ATC/A02AC01>	4
<http://purl.bioontology.org/ontology/ATC/A12CC04>	2
<http://purl.bioontology.org/ontology/ATC/L01CE02>	4
<http://purl.bioontology.org/ontology/ATC/A06AB58>	13
<http://purl.bioontology.org/ontology/ATC/N06AX05>	2
<http://purl.bioontology.org/ontology/ATC/N01AH01>	4
<http://purl.bioontology.org/ontology/ATC/A12CC02>	3
<http://purl.bioontology.org/ontology/ATC/A12CC05>	3
<http://purl.bioontology.org/ontology/ATC/L01XJ02>	2
<http://purl.bioontology.org/ontology/ATC/G04BD11>	7
<http://purl.bioontology.org/ontology/ATC/J05AP08>	1
<http://purl.bioontology.org/ontology/ATC/L01CD04>	3
<http://purl.bioontology.org/ontology/ATC/N04BD02>	1
<http://purl.bioontology.org/ontology/ATC/C08CA06>	2
<http://purl.bioontology.org/ontology/ATC/N04BX02>	4
<http://purl.bioontology.org/ontology/ATC/N02CC04>	9
<http://purl.bioontology.org/ontology/ATC/N02AF02>	2
<http://purl.bioontology.org/ontology/ATC/N07BC51>	3
<http://purl.bioontology.org/ontology/ATC/G02BA03>	21
<http://purl.bioontology.org/ontology/ATC/N06AF04>	14
<http://purl.bioontology.org/ontology/ATC/L02BG03>	3
<http://purl.bioontology.org/ontology/ATC/N07BB04>	3
<http://purl.bioontology.org/ontology/ATC/N02AE01>	4
<http://purl.bioontology.org/ontology/ATC/N04BD01>	5
<http://purl.bioontology.org/ontology/ATC/N07BB05>	3
<http://purl.bioontology.org/ontology/ATC/G03AC06>	5
<http://purl.bioontology.org/ontology/ATC/N04BX01>	5
<http://purl.bioontology.org/ontology/ATC/C08CA04>	5
<http://purl.bioontology.org/ontology/ATC/N06BA04>	26
<http://purl.bioontology.org/ontology/ATC/L01CA04>	8
<http://purl.bioontology.org/ontology/ATC/N02CC06>	9
<http://purl.bioontology.org/ontology/ATC/N07BC01>	3
<http://purl.bioontology.org/ontology/ATC/A06AH03>	9
<http://purl.bioontology.org/ontology/ATC/P01BB51>	1
<http://purl.bioontology.org/ontology/ATC/L02BG06>	2
<http://purl.bioontology.org/ontology/ATC/L02BA03>	2
<http://purl.bioontology.org/ontology/ATC/N02AX02>	7
