?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/C03EA01>	10
<http://purl.bioontology.org/ontology/ATC/L02BB06>	1
<http://purl.bioontology.org/ontology/ATC/N02CX02>	1
<http://purl.bioontology.org/ontology/ATC/M01AX01>	12
<http://purl.bioontology.org/ontology/ATC/C09CA07>	2
<http://purl.bioontology.org/ontology/ATC/D07AB09>	14
<http://purl.bioontology.org/ontology/ATC/M01AE02>	15
<http://purl.bioontology.org/ontology/ATC/R06AX25>	2
<http://purl.bioontology.org/ontology/ATC/N03AB02>	2
<http://purl.bioontology.org/ontology/ATC/J01XD01>	1
<http://purl.bioontology.org/ontology/ATC/N05BA01>	5
<http://purl.bioontology.org/ontology/ATC/N06BA09>	3
<http://purl.bioontology.org/ontology/ATC/B03XA01>	15
<http://purl.bioontology.org/ontology/ATC/J01FA09>	7
<http://purl.bioontology.org/ontology/ATC/N05BA08>	5
<http://purl.bioontology.org/ontology/ATC/C09DA04>	6
<http://purl.bioontology.org/ontology/ATC/A02BA03>	1
<http://purl.bioontology.org/ontology/ATC/J07CA09>	6
<http://purl.bioontology.org/ontology/ATC/C09DA03>	10
<http://purl.bioontology.org/ontology/ATC/P01BF01>	7
<http://purl.bioontology.org/ontology/ATC/J07AJ52>	8
<http://purl.bioontology.org/ontology/ATC/C10AB08>	4
<http://purl.bioontology.org/ontology/ATC/V01AA03>	22
<http://purl.bioontology.org/ontology/ATC/V03AE04>	4
<http://purl.bioontology.org/ontology/ATC/M03BX02>	1
<http://purl.bioontology.org/ontology/ATC/A10AD05>	1
<http://purl.bioontology.org/ontology/ATC/C08CA13>	5
<http://purl.bioontology.org/ontology/ATC/C07AB07>	10
<http://purl.bioontology.org/ontology/ATC/C01BA03>	2
<http://purl.bioontology.org/ontology/ATC/N02AJ06>	5
<http://purl.bioontology.org/ontology/ATC/L01EF02>	1
<http://purl.bioontology.org/ontology/ATC/J01MA14>	12
<http://purl.bioontology.org/ontology/ATC/C07AB09>	9
<http://purl.bioontology.org/ontology/ATC/C04AB01>	3
<http://purl.bioontology.org/ontology/ATC/C09XA02>	1
<http://purl.bioontology.org/ontology/ATC/A10AB06>	1
<http://purl.bioontology.org/ontology/ATC/N06AA21>	3
<http://purl.bioontology.org/ontology/ATC/L01CA01>	2
<http://purl.bioontology.org/ontology/ATC/C09DA02>	11
<http://purl.bioontology.org/ontology/ATC/A10AB01>	2
